keyid,intervention,village,date0,resurvey0,respondent0,homegarden0,va_exposed0,vaknowledgecountgen0,va_sourcegen0,ofsp_known0,ofspknowledgecountgen0,grew_ofsp0,ofsp_future0,goodrf_optionscountgen0,gender0,widow0,education0,electricity0,house0,totalgoods0,sec0,date1,resurvey1,respondent1,ageofhh1,ageofspouse1,homegarden1,toilet1,vas1,va_exposed1,vaknowledgecountgen1,va_sourcegen1,ofsp_known1,ofspknowledgecountgen1,grew_ofsp1,ofsp_future1,price1,amount1,freechoice1,duration1,adult_ate1,child_ate1,adult_greens1,child_greens1,age_for_food1,goodrf_optionscountgen1,nutreventcount1,ageventcount1,adultofspdiet1,childofspdiet1
101011,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101012,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,0,1 Illiterate,3 None,Pucca,1,E1,31aug2018,0,Spouse of Head,70,65,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,1 Ate frequently,1 Ate frequently,6,0,0,1,,
101013,Ag Only,Kushalpur,14dec2017,0,Head of Household,1 Yes,"3 Yes, has heard about vitamin A",0,1,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,0,4 9th Standard,1 Full,Pucca,4,C1,31aug2018,0,Spouse of Head,52,50,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,8,0,0,1,,
101014,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101015,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101016,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101017,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,1 Full,Pucca,10,B1,31aug2018,0,Spouse of Head,65,60,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,12,0,0,0,,
101018,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,0 No,0,1 Female,0,1 Illiterate,1 Full,Pucca,4,C2,04sep2018,1,Head of Household,35,,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,,,,,3 Ate once – Liked it,5 Did not eat,6,0,0,1,,
101019,Ag Only,Kushalpur,15dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,0,3 4th Standard,1 Full,Pucca,9,A3,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,2,,
101020,Ag Only,Kushalpur,15dec2017,0,Head of Household,0 No,"3 Yes, has heard about vitamin A",1,1,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,2 No Formal Education,1 Full,Pucca,8,A3,31aug2018,0,Spouse of Head,40,38,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,2 Undecided,,,,,,,1 Ate frequently,5 Did not eat,12,0,0,2,,
101021,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,"3 Yes, has heard about vitamin A",1,1,"4 No, have neither seen nor heard",0,0 No,,2,1 Female,0,3 4th Standard,1 Full,Pucca,7,A3,31aug2018,0,Spouse of Head,36,35,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",2,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,1,,
101022,Ag Only,Kushalpur,15dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,0,1 Illiterate,1 Full,Semi-pucca,4,C2,31aug2018,0,Head of Household,70,65,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,1,,
101023,Ag Only,Kushalpur,15dec2017,0,Head of Household,0 No,"3 Yes, has heard about vitamin A",1,1,"3 Yes, heard about it only",0,1 Yes,0 No,1,0 Male,0,5 High School,1 Full,Pucca,5,B1,31aug2018,0,Head of Household,38,35,0 No,1 The toilet is working and is used,2 Has heard of VA supplements but child has not received,"3 Yes, has heard about vitamin A",1,2,"1 Yes, have seen and heard",2,1 Yes,0 No,,,,4 3-4 weeks,2 Once every 3-4 days,6 No children in this household,2 Ate a few times,,6,1,0,5,7.1428571,
101024,Ag Only,Kushalpur,15dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,0,1 Illiterate,1 Full,Pucca,9,B1,31aug2018,0,Spouse of Head,60,55,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",1,1,"1 Yes, have seen and heard",1,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,,
101025,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,1 Yes,,1,1 Female,0,1 Illiterate,1 Full,Pucca,2,D2,31aug2018,0,Spouse of Head,65,60,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",3,1 Yes,1 Yes,0,1,,1 A few days only,4 Less than once a week,4 Less than once a week,1 Ate frequently,1 Ate frequently,6,0,0,4,.40000001,.40000001
101026,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,"3 Yes, has heard about vitamin A",2,2,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,5 High School,1 Full,Pucca,6,A3,31aug2018,0,Head of Household,68,63,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",1,1,"1 Yes, have seen and heard",3,0 No,0 No,,,,,,,5 Did not eat,,6,0,0,2,,
101027,Ag Only,Kushalpur,15dec2017,0,Head of Household,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,1 Yes,,1,1 Female,1,1 Illiterate,1 Full,Pucca,5,C1,31aug2018,0,Head of Household,52,46,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,1,0,3,,
101028,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,0,1 Illiterate,3 None,Pucca,2,D2,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101029,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,1 Yes,"2 Has heard of vitamins, but not A",0,0,"2 Yes, saw it only",2,0 No,1 Yes,2,1 Female,0,1 Illiterate,1 Full,Semi-pucca,3,D1,04sep2018,1,Head of Household,65,60,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",3,1 Yes,1 Yes,,,,,,,5 Did not eat,5 Did not eat,7,1,0,1,,
101030,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,1,1 Illiterate,3 None,Pucca,1,E2,31aug2018,0,Head of Household,40,38,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,4,0,0,0,,
101031,Ag Only,Kushalpur,14dec2017,0,Head of Household,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,1 Illiterate,3 None,Pucca,2,E1,31aug2018,0,Spouse of Head,33,30,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,12,1,0,0,,
101032,Ag Only,Kushalpur,14dec2017,0,Other,1 Yes,"3 Yes, has heard about vitamin A",2,1,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,1 Full,Pucca,6,C1,31aug2018,0,Spouse of Head,52,46,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,1 Yes,1 Yes,,,,,,,1 Ate frequently,1 Ate frequently,7,0,0,0,,
101033,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,0,4 9th Standard,1 Full,Pucca,5,B2,31aug2018,0,Spouse of Head,38,36,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,1 Yes,1 Yes,,,,,,,2 Ate a few times,2 Ate a few times,7,0,0,1,,
101034,Ag Only,Kushalpur,15dec2017,0,Head of Household,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,1 Illiterate,1 Full,Pucca,7,B2,31aug2018,0,Head of Household,85,,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,12,0,0,1,,
101035,Ag Only,Kushalpur,14dec2017,0,Other,1 Yes,"3 Yes, has heard about vitamin A",2,2,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,1,4 9th Standard,1 Full,"Mansion (2-Story, finished home)",6,B1,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101036,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,4 9th Standard,1 Full,Pucca,5,B2,31aug2018,0,Spouse of Head,30,28,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,6,0,0,3,,
101037,Ag Only,Kushalpur,14dec2017,0,Head of Household,1 Yes,"3 Yes, has heard about vitamin A",1,1,"4 No, have neither seen nor heard",0,1 Yes,,0,0 Male,0,4 9th Standard,1 Full,Pucca,6,B1,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,1,,
101038,Ag Only,Kushalpur,14dec2017,0,Head of Household,1 Yes,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",1,0 No,2 Undecided,1,0 Male,1,3 4th Standard,2 Partial,Semi-pucca,2,D2,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101039,Ag Only,Kushalpur,15dec2017,0,Head of Household,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,1,1 Illiterate,1 Full,Pucca,8,B1,31aug2018,0,Head of Household,98,,0 No,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,,
101040,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101041,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101042,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101043,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101044,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,31aug2018,0,Spouse of Head,56,53,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,1 Yes,1 Yes,,,,,,,2 Ate a few times,2 Ate a few times,6,0,0,0,,
101045,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,"3 Yes, has heard about vitamin A",1,1,"2 Yes, saw it only",1,0 No,0 No,1,1 Female,0,1 Illiterate,1 Full,Pucca,4,D1,31aug2018,0,Spouse of Head,45,40,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,0 No,,,,,,,1 Ate frequently,1 Ate frequently,6,1,0,0,,
101046,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,1 Full,Pucca,4,C2,31aug2018,0,Head of Household,60,55,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,6,0,0,1,,
101047,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,1 Illiterate,1 Full,Pucca,3,D1,31aug2018,0,Spouse of Head,40,38,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,0 No,,,,,,,1 Ate frequently,1 Ate frequently,6,0,0,0,,
101048,Ag Only,Kushalpur,14dec2017,0,Spouse of Head,0 No,"3 Yes, has heard about vitamin A",1,3,"2 Yes, saw it only",4,1 Yes,1 Yes,0,1 Female,0,2 No Formal Education,2 Partial,Hut,1,E1,31aug2018,0,Spouse of Head,55,50,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,1 Yes,1 Yes,,,,,,,1 Ate frequently,5 Did not eat,9,0,0,4,,
101049,Ag Only,Kushalpur,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,0,3 4th Standard,3 None,Hut,1,E1,31aug2018,0,Spouse of Head,75,70,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,1 Yes,2 Undecided,,,,,,,5 Did not eat,5 Did not eat,6,0,0,1,,
101050,Ag Only,Kushalpur,15dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,3 None,Pucca,2,D2,31aug2018,0,Head of Household,85,80,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,,8,0,0,0,,
101051,Ag Only,Kushalpur,15dec2017,0,Other,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,1 Illiterate,3 None,Semi-pucca,3,D2,31aug2018,0,Spouse of Head,40,38,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,7,1,0,1,,
101052,Ag Only,Kushalpur,15dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,5 High School,1 Full,Pucca,4,B2,31aug2018,0,Spouse of Head,30,28,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,1,0,0,,
101053,Ag Only,Kushalpur,14dec2017,0,Other,1 Yes,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,0 Male,1,1 Illiterate,1 Full,Semi-pucca,1,E1,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,1,,
101054,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101055,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101056,Ag Only,Kushalpur,09jan2018,1,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,0 Male,0,4 9th Standard,1 Full,Pucca,9,A3,31aug2018,0,Spouse of Head,50,40,0 No,1 The toilet is working and is used,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was","2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",2,0 No,1 Yes,,,,,,,2 Ate a few times,2 Ate a few times,7,1,0,1,,
101057,Ag Only,Kushalpur,09jan2018,1,Spouse of Head,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,1 Full,Semi-pucca,1,E1,31aug2018,0,Head of Household,52,48,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,9,0,0,0,,
101058,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101059,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101060,Ag Only,Kushalpur,09jan2018,1,Spouse of Head,1 Yes,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,0,1 Female,0,1 Illiterate,3 None,Semi-pucca,1,E1,31aug2018,0,Spouse of Head,32,28,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,0 No,,,,,,,3 Ate once – Liked it,5 Did not eat,12,1,0,0,,
101061,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101062,Ag Only,Kushalpur,09jan2018,1,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,1 Female,0,6 Diploma,1 Full,Pucca,3,C1,31aug2018,0,Spouse of Head,60,55,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,,
101063,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,1,,
101064,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101065,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101066,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101067,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,1,,
101068,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,0,,
101069,Ag Only,Kushalpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,0,1,,
101200,Ag Only,Kushalpur,,,,,,0,0,,0,1 Yes,,0,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,
101201,Ag Only,Kushalpur,,,,,,0,0,,0,1 Yes,,0,,,,,,,,31aug2018,0,Spouse of Head,35,30,1 Yes,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was",1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",3,1 Yes,0 No,,,,,,,1 Ate frequently,1 Ate frequently,6,0,,,,
101202,Ag Only,Kushalpur,,,,,,0,0,,0,1 Yes,,0,,,,,,,,04sep2018,1,Spouse of Head,35,30,0 No,3 There is no toilet facility. ,"3 Has not heard of VA suppplements but child received some supplement, unsure what it was","2 Has heard of vitamins, but not A",0,0,"3 Yes, heard about it only",2,0 No,1 Yes,,,,,,,5 Did not eat,5 Did not eat,8,0,,,,
101203,Ag Only,Kushalpur,,,,,,0,0,,0,1 Yes,,0,,,,,,,,04sep2018,1,Head of Household,60,55,1 Yes,1 The toilet is working and is used,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",3,1 Yes,1 Yes,,,,,,,2 Ate a few times,2 Ate a few times,6,2,,,,
